5000,1,0.336077,1
10000,2,0.622211319,1.99994266266341846893794809148
15000,3,0.765670638,2.99988532532683693787589618296
20000,4,1.118380537,3.99982798799025518476923934941
25000,5,1.275829416,4.99977065065367387575179236592
30000,6,1.585725158,5.99971331331709212264513553237
35000,7,1.815461767,6.99965597598051036953847869881
40000,8,2.108510699,7.99959863864392861643182186526
45000,9,2.429676127,8.99954130130734775150358473184
50000,10,2.677995264,9.99948396397076599839692789828
55000,11,3.664479072,10.9994266266341842452902710647
60000,12,4.14398347,11.9993692892976024921836142312
65000,13,4.520634858,12.9993119519610207390769573976
70000,14,4.991132181,13.9992546146244389859703005641
75000,15,5.421671741,14.9991972772878572328636437305
80000,16,6.281000874,15.999139939951275479756986897
85000,17,6.757725744,16.9990826026146955030071694637
90000,18,7.352751391,17.9990252652781137499005126301
95000,19,7.917168738,18.9989679279415319967938557966
100000,20,8.514998369,19.998910590604950243687198963
