ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, flush_requests, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 3, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 3, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 4, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 4, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 5, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 5, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 6, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 6, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 7, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 7, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 8, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 8, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 9, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 9, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 10, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 10, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
